# #DAC_Voltage_V	Power_mW	PD_mV
0.100	2.580	18.150
0.200	4.480	18.700
0.300	6.800	19.050
0.400	9.300	19.850
0.500	11.650	20.450
0.600	13.800	20.930
0.700	15.400	21.750
0.800	19.000	22.380
1.000	23.700	23.400
1.500	35.400	26.700
2.000	46.000	29.500
2.500	58.000	32.700
3.000	68.000	35.800
3.500	80.000	38.900
4.000	91.000	42.000
4.100	95.000	44.000
4.150	108.000	48.700
4.200	150.000	59.500
4.250	205.000	70.800
4.300	278.000	91.00
4.400	392.000	119.500
4.500	512.000	150.200
4.600	648.000	181.000
4.700	780.000	212.000
4.800	910.000	241.000
4.900	1038.000	273.000
5.000	1170.000	298.400
5.200	1410.000	360.000
5.400	1670.000	421.000
5.600	1900.000	477.000
5.800	2180.000	543.000
6.000	2460.000	606.000
7.000	3770.000	908.000
8.000	5120.000	1248.000
8.200   5500.0  1360.
