# #DAC_Voltage_V	Power_from_VPD_mW
2.708	0.100
5.000	0.200
6.458	0.300
9.792	0.400
12.292	0.500
14.292	0.600
17.708	0.700
20.333	0.800
24.583	1.000
38.333	1.500
50.000	2.000
63.333	2.500
76.250	3.000
89.167	3.500
102.083	4.000
110.417	4.100
130.000	4.150
175.000	4.200
222.083	4.250
306.250	4.300
425.000	4.400
552.917	4.500
681.250	4.600
810.417	4.700
931.250	4.800
1064.583	4.900
1170.417	5.000
1427.083	5.200
1681.250	5.400
1914.583	5.600
2189.583	5.800
2452.083	6.000
3710.417	7.000
5127.083	8.000
5593.750	8.200
