sample_idx,rel_param_dist,mae_counts_per_shot,rmse_counts_per_shot,flip_rate,total_shift_vs_baseline,total_defects,corrected_total,rejected_total,param__gaussian_sigma,param__derivative_threshold,param__derivative_threshold_pos,param__derivative_threshold_neg,param__peak_step_filter_enabled,param__peak_step_filter_window_px,param__peak_step_filter_min_abs_delta_m,param__min_same_sign_peak_distance_um,param__zero_crossing_min_distance_um,param__defect_position_hist_half_window_um
69,0.10110862873320668,0.25925925925925924,0.693888666488711,0.14814814814814814,-7,442,28,40,0.3414055217331899,0.0,0.0534868763573613,-0.0390142110641702,True,4,0.09905862876000933,5.633590020516703,2.939379310047384,4.0
103,0.17740351816710867,0.25925925925925924,0.693888666488711,0.14814814814814814,5,454,35,58,0.4203734069070206,0.0,0.05378178925098128,-0.029359178314892112,True,4,0.10236504587701517,7.661543809544889,2.541570927137569,4.0
137,0.12159001273467036,0.3333333333333333,0.7934920476158722,0.18518518518518517,5,454,34,64,0.30805739834452717,0.0,0.05370771759090434,-0.028498777723933638,True,4,0.09957861861285489,8.342312477926711,2.472447696905089,4.0
33,0.15062002860121684,0.37037037037037035,0.816496580927726,0.2222222222222222,-2,447,34,53,0.3029438183622983,0.0,0.05261959781485744,-0.035243612915989736,True,5,0.0841892351512209,5.171750750213439,2.9016551585053953,4.0
159,0.16948118947710836,0.37037037037037035,0.769800358919501,0.25925925925925924,-10,439,29,57,0.32040598930213265,0.0,0.05192399937709063,-0.034625200672737826,True,4,0.11204781556336635,9.945877802464093,3.1191282590644303,4.0
9,0.1096563591787804,0.4074074074074074,0.8819171036881969,0.2222222222222222,3,452,37,53,0.25856232811115304,0.0,0.05704829187979885,-0.03219955709726683,True,4,0.10257803933253351,5.520515499312586,2.671798842560461,4.0
200,0.19002012236514312,0.4074074074074074,0.7934920476158722,0.2962962962962963,-5,444,57,36,0.43752842825744415,0.0,0.06588363453059683,-0.03436097299809228,True,4,0.09607835878868864,7.120256094064606,3.1070212787879337,4.0
37,0.15360654443995653,0.4444444444444444,0.9813067629253163,0.2222222222222222,-8,441,33,56,0.3532888070145986,0.0,0.054189495422532485,-0.03551438579873203,True,5,0.09435146980078885,8.818255827266313,2.9871440844829866,4.0
194,0.23587691290735308,0.4444444444444444,0.90267093384844,0.25925925925925924,6,455,34,57,0.4686940138617507,0.0,0.05070752978985922,-0.028033896717332016,True,4,0.10486833762080178,7.622059931423684,2.6054418338123697,4.0
228,0.10562011854536157,0.4444444444444444,0.90267093384844,0.25925925925925924,-4,445,31,72,0.2778739613192699,0.0,0.05013759525632123,-0.03206041864175094,True,4,0.11626729739258897,7.975537622980795,2.6728014360484873,4.0
237,0.18810805086615406,0.4444444444444444,0.8606629658238704,0.2962962962962963,-2,447,72,66,0.2925428425842455,0.0,0.0708522000895994,-0.028131803264868596,True,4,0.10339836861621235,9.452706280925682,2.8811588154665215,4.0
243,0.1596930987776685,0.4444444444444444,0.816496580927726,0.3333333333333333,12,461,34,55,0.3468476205610123,0.0,0.05362167437410025,-0.03092737794610851,True,4,0.10049285296317215,4.961820149491524,2.2954379327060135,4.0
65,0.16642846088307842,0.48148148148148145,0.9229582069908973,0.2962962962962963,3,452,26,43,0.3724893901161139,0.0,0.043904608791381805,-0.042450938444894185,True,4,0.10697741625609102,5.680958474788371,2.713645230030905,4.0
195,0.1078755052293203,0.48148148148148145,0.8388704928078611,0.37037037037037035,-3,446,25,64,0.2695010262267137,0.0,0.046581432636790744,-0.036143402114447915,True,4,0.11666703015363496,6.166552013367113,3.2050811179686383,4.0
189,0.14417160498834583,0.5185185185185185,0.9813067629253163,0.2962962962962963,12,461,36,45,0.3958617154871611,0.0,0.051550183231246105,-0.030990159247021348,True,4,0.09347505820016333,7.410007497428099,3.409638652662491,4.0
